Date,"Cat"
2018-12-31,5681
2019-01-01,5756
2019-01-02,6365
2019-01-03,6581
2019-01-04,6089
2019-01-05,5845
2019-01-06,6416
2019-01-07,6697
2019-01-08,7377
2019-01-09,7609
2019-01-10,7065
2019-01-11,6771
2019-01-12,6364
2019-01-13,6743
2019-01-14,7176
2019-01-15,7209
2019-01-16,7497
2019-01-17,7162
2019-01-18,6746
2019-01-19,6181
2019-01-20,6778
2019-01-21,6942
2019-01-22,7253
2019-01-23,7187
2019-01-24,8446
2019-01-25,7059
2019-01-26,5718
2019-01-27,6508
2019-01-28,7023
2019-01-29,6950
2019-01-30,6813
2019-01-31,7462
2019-02-01,6685
2019-02-02,5719
2019-02-03,6346
2019-02-04,11390
2019-02-05,12386
2019-02-06,7025
2019-02-07,7236
2019-02-08,6411
2019-02-09,6053
2019-02-10,6356
2019-02-11,7062
2019-02-12,6738
2019-02-13,6841
2019-02-14,6548
2019-02-15,6148
2019-02-16,5806
2019-02-17,6293
2019-02-18,6696
2019-02-19,7133
2019-02-20,7146
2019-02-21,6814
2019-02-22,6468
2019-02-23,6000
2019-02-24,6409
2019-02-25,6943
2019-02-26,7267
2019-02-27,6905
2019-02-28,6664
2019-03-01,6320
2019-03-02,5861
2019-03-03,6156
2019-03-04,6844
2019-03-05,6972
2019-03-06,7079
2019-03-07,6942
2019-03-08,6356
2019-03-09,5809
2019-03-10,6432
2019-03-11,7030
2019-03-12,6856
2019-03-13,6759
2019-03-14,6716
2019-03-15,5909
2019-03-16,5366
2019-03-17,6429
2019-03-18,6599
2019-03-19,6664
2019-03-20,6673
2019-03-21,6534
2019-03-22,5893
2019-03-23,5345
2019-03-24,5710
2019-03-25,6645
2019-03-26,6530
2019-03-27,6686
2019-03-28,6328
2019-03-29,5931
2019-03-30,5437
2019-03-31,5935
2019-04-01,6300
2019-04-02,6521
2019-04-03,6847
2019-04-04,6791
2019-04-05,6433
2019-04-06,5424
2019-04-07,5974
2019-04-08,6711
2019-04-09,6781
2019-04-10,6338
2019-04-11,6948
2019-04-12,6299
2019-04-13,5396
2019-04-14,6096
2019-04-15,6086
2019-04-16,6098
2019-04-17,5990
2019-04-18,5854
2019-04-19,5750
2019-04-20,5469
2019-04-21,5577
2019-04-22,6020
2019-04-23,6174
